原始数据+原始评估
Start training...
Epoch: [2][5200/6349]   Loss 0.1826 (0.2298)    Accuracy 0.688 (0.672)
Epoch: [2][5400/6349]   Loss 0.1725 (0.2296)    Accuracy 0.719 (0.672)
Epoch: [2][5600/6349]   Loss 0.2604 (0.2294)    Accuracy 0.766 (0.672)
Epoch: [2][5800/6349]   Loss 0.2060 (0.2290)    Accuracy 0.609 (0.673)
Epoch: [2][6000/6349]   Loss 0.2774 (0.2287)    Accuracy 0.656 (0.673)
Epoch: [2][6200/6349]   Loss 0.2230 (0.2289)    Accuracy 0.656 (0.673)
Evaluating: 100%|█████████████████████████████████████████████████████████████████████| 794/794 [00:14<00:00, 53.77it/s]

 *Evaluation Loss: 0.2575        Accuracy: 0.677

Epoch: [3][0/6349]      Loss 0.1890 (0.1890)    Accuracy 0.703 (0.703)
Epoch: [3][200/6349]    Loss 0.1845 (0.1963)    Accuracy 0.625 (0.690)
Epoch: [3][400/6349]    Loss 0.1672 (0.1967)    Accuracy 0.641 (0.692)
Epoch: [3][600/6349]    Loss 0.1755 (0.1949)    Accuracy 0.766 (0.692)
Epoch: [3][800/6349]    Loss 0.1596 (0.1963)    Accuracy 0.688 (0.692)
Epoch: [3][1000/6349]   Loss 0.1968 (0.1963)    Accuracy 0.719 (0.692)
Epoch: [3][1200/6349]   Loss 0.1181 (0.1956)    Accuracy 0.750 (0.692)
Epoch: [3][1400/6349]   Loss 0.1187 (0.1966)    Accuracy 0.641 (0.691)
Epoch: [3][1600/6349]   Loss 0.2200 (0.1972)    Accuracy 0.656 (0.691)
Epoch: [3][1800/6349]   Loss 0.2036 (0.1975)    Accuracy 0.703 (0.691)
Epoch: [3][2000/6349]   Loss 0.1286 (0.1974)    Accuracy 0.703 (0.691)
Epoch: [3][2200/6349]   Loss 0.2261 (0.1974)    Accuracy 0.641 (0.691)
Epoch: [3][2400/6349]   Loss 0.1654 (0.1968)    Accuracy 0.703 (0.691)
Epoch: [3][2600/6349]   Loss 0.2741 (0.1972)    Accuracy 0.688 (0.691)
Epoch: [3][2800/6349]   Loss 0.2730 (0.1969)    Accuracy 0.625 (0.692)
Epoch: [3][3000/6349]   Loss 0.1957 (0.1973)    Accuracy 0.578 (0.692)
Epoch: [3][3200/6349]   Loss 0.1541 (0.1974)    Accuracy 0.719 (0.692)
Epoch: [3][3400/6349]   Loss 0.2229 (0.1975)    Accuracy 0.656 (0.692)
Epoch: [3][3600/6349]   Loss 0.2324 (0.1975)    Accuracy 0.625 (0.692)
Epoch: [3][3800/6349]   Loss 0.2291 (0.1979)    Accuracy 0.688 (0.692)
Epoch: [3][4000/6349]   Loss 0.1727 (0.1982)    Accuracy 0.672 (0.692)
Epoch: [3][4200/6349]   Loss 0.1749 (0.1984)    Accuracy 0.766 (0.692)
Epoch: [3][4400/6349]   Loss 0.1644 (0.1985)    Accuracy 0.688 (0.692)
Epoch: [3][4600/6349]   Loss 0.2390 (0.1986)    Accuracy 0.672 (0.692)
Epoch: [3][4800/6349]   Loss 0.2027 (0.1987)    Accuracy 0.703 (0.693)
Epoch: [3][5000/6349]   Loss 0.1190 (0.1986)    Accuracy 0.797 (0.693)
Epoch: [3][5200/6349]   Loss 0.1368 (0.1985)    Accuracy 0.672 (0.693)
Epoch: [3][5400/6349]   Loss 0.2012 (0.1987)    Accuracy 0.609 (0.693)
Epoch: [3][5600/6349]   Loss 0.2400 (0.1985)    Accuracy 0.719 (0.693)
Epoch: [3][5800/6349]   Loss 0.2647 (0.1987)    Accuracy 0.688 (0.694)
Epoch: [3][6000/6349]   Loss 0.2639 (0.1988)    Accuracy 0.672 (0.694)
Epoch: [3][6200/6349]   Loss 0.2101 (0.1986)    Accuracy 0.641 (0.694)
Evaluating: 100%|█████████████████████████████████████████████████████████████████████| 794/794 [00:17<00:00, 46.15it/s]

 *Evaluation Loss: 0.2592        Accuracy: 0.689

Epoch: [4][0/6349]      Loss 0.1157 (0.1157)    Accuracy 0.812 (0.812)
Epoch: [4][200/6349]    Loss 0.2577 (0.1688)    Accuracy 0.734 (0.712)
Epoch: [4][400/6349]    Loss 0.1830 (0.1690)    Accuracy 0.719 (0.710)
Epoch: [4][600/6349]    Loss 0.1777 (0.1698)    Accuracy 0.688 (0.708)
Epoch: [4][800/6349]    Loss 0.1621 (0.1692)    Accuracy 0.766 (0.707)
Epoch: [4][1000/6349]   Loss 0.1395 (0.1696)    Accuracy 0.750 (0.707)
Epoch: [4][1200/6349]   Loss 0.2709 (0.1710)    Accuracy 0.688 (0.707)
Epoch: [4][1400/6349]   Loss 0.1996 (0.1707)    Accuracy 0.750 (0.708)
Epoch: [4][1600/6349]   Loss 0.1443 (0.1708)    Accuracy 0.688 (0.708)
Epoch: [4][1800/6349]   Loss 0.2341 (0.1718)    Accuracy 0.641 (0.707)
Epoch: [4][2000/6349]   Loss 0.1785 (0.1720)    Accuracy 0.672 (0.707)
Epoch: [4][2200/6349]   Loss 0.1884 (0.1720)    Accuracy 0.703 (0.708)
Epoch: [4][2400/6349]   Loss 0.2282 (0.1720)    Accuracy 0.688 (0.708)
Epoch: [4][2600/6349]   Loss 0.2016 (0.1720)    Accuracy 0.594 (0.708)
Epoch: [4][2800/6349]   Loss 0.1301 (0.1721)    Accuracy 0.656 (0.708)
Epoch: [4][3000/6349]   Loss 0.1212 (0.1724)    Accuracy 0.766 (0.708)
Epoch: [4][3200/6349]   Loss 0.1537 (0.1725)    Accuracy 0.719 (0.709)
Epoch: [4][3400/6349]   Loss 0.1124 (0.1727)    Accuracy 0.719 (0.709)
Epoch: [4][3600/6349]   Loss 0.1520 (0.1730)    Accuracy 0.750 (0.709)
Epoch: [4][3800/6349]   Loss 0.2197 (0.1732)    Accuracy 0.656 (0.709)
Epoch: [4][4000/6349]   Loss 0.1468 (0.1735)    Accuracy 0.703 (0.709)
Epoch: [4][4200/6349]   Loss 0.1585 (0.1734)    Accuracy 0.672 (0.709)
Epoch: [4][4400/6349]   Loss 0.1275 (0.1732)    Accuracy 0.812 (0.709)
Epoch: [4][4600/6349]   Loss 0.1383 (0.1731)    Accuracy 0.703 (0.709)
Epoch: [4][4800/6349]   Loss 0.1342 (0.1731)    Accuracy 0.766 (0.709)
Epoch: [4][5000/6349]   Loss 0.1201 (0.1732)    Accuracy 0.781 (0.710)
Epoch: [4][5200/6349]   Loss 0.1400 (0.1732)    Accuracy 0.609 (0.710)
Epoch: [4][5400/6349]   Loss 0.0856 (0.1732)    Accuracy 0.781 (0.710)
Epoch: [4][5600/6349]   Loss 0.3083 (0.1734)    Accuracy 0.594 (0.710)
Epoch: [4][5800/6349]   Loss 0.2573 (0.1734)    Accuracy 0.656 (0.710)
Epoch: [4][6000/6349]   Loss 0.2122 (0.1735)    Accuracy 0.781 (0.710)
Epoch: [4][6200/6349]   Loss 0.1607 (0.1736)    Accuracy 0.672 (0.710)
Evaluating: 100%|█████████████████████████████████████████████████████████████████████| 794/794 [00:16<00:00, 47.05it/s]

 *Evaluation Loss: 0.2571        Accuracy: 0.686

Epoch: [5][0/6349]      Loss 0.1442 (0.1442)    Accuracy 0.672 (0.672)
Epoch: [5][200/6349]    Loss 0.0788 (0.1442)    Accuracy 0.828 (0.731)
Epoch: [5][400/6349]    Loss 0.1472 (0.1453)    Accuracy 0.766 (0.729)
Epoch: [5][600/6349]    Loss 0.0832 (0.1479)    Accuracy 0.781 (0.725)
Epoch: [5][800/6349]    Loss 0.3227 (0.1488)    Accuracy 0.797 (0.725)
Epoch: [5][1000/6349]   Loss 0.1319 (0.1488)    Accuracy 0.734 (0.727)
